id,date,admin0,admin1,cases
ECA,2020-01-07,Ecuador,Azuay,0
ECB,2020-01-07,Ecuador,Bolivar,0
ECC,2020-01-07,Ecuador,Carchi,0
ECD,2020-01-07,Ecuador,Orellana,0
ECE,2020-01-07,Ecuador,Esmeraldas,0
ECF,2020-01-07,Ecuador,Canar,0
ECG,2020-01-07,Ecuador,Guayas,0
ECH,2020-01-07,Ecuador,Chimborazo,0
ECI,2020-01-07,Ecuador,Imbabura,0
ECL,2020-01-07,Ecuador,Loja,0
ECM,2020-01-07,Ecuador,Manabi,0
ECN,2020-01-07,Ecuador,Napo,0
ECO,2020-01-07,Ecuador,El Oro,0
ECP,2020-01-07,Ecuador,Pichincha,0
ECR,2020-01-07,Ecuador,Los Rios,0
ECS,2020-01-07,Ecuador,Morona Santiago,0
ECSD,2020-01-07,Ecuador,Sto. Domingo Tsachilas,0
ECSE,2020-01-07,Ecuador,Santa Elena,0
ECT,2020-01-07,Ecuador,Tungurahua,0
ECU,2020-01-07,Ecuador,Sucumbios,0
ECW,2020-01-07,Ecuador,Galapagos,0
ECX,2020-01-07,Ecuador,Cotopaxi,0
ECY,2020-01-07,Ecuador,Pastaza,0
ECZ,2020-01-07,Ecuador,Zamora Chinchipe,0
